dt,type_name,type_id,lon,lat,lesn1,lesn3
2013/08/18,Лесной пожар,"3",107.0212,57.0952,Киренское,Небельская
2013/08/18,Лесной пожар,"3",107.0002,57.1056,Киренское,Небельская
2014/05/17,Лесной пожар,"3",106.9767,57.1106,Киренское,Небельская
2014/05/17,Лесной пожар,"3",106.9882,57.1546,Киренское,Небельская
2014/05/18,Лесной пожар,"3",106.9987,57.1424,Киренское,Небельская
2014/05/18,Лесной пожар,"3",106.9778,57.1134,Киренское,Небельская
2014/06/26,Лесной пожар,"3",107.3489,57.1758,Киренское,Небельская
2014/06/26,Лесной пожар,"3",107.3494,57.1723,Киренское,Небельская
2014/06/27,Лесной пожар,"3",107.3889,57.1654,Киренское,Небельская
2014/06/27,Лесной пожар,"3",107.3438,57.1844,Киренское,Небельская
2014/06/27,Лесной пожар,"3",107.3689,57.1564,Киренское,Небельская
2014/06/28,Лесной пожар,"3",107.0309,57.0984,Киренское,Небельская
